,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Exit Target,LP Tag,Entity Type,Stage,Sector Focus,Sectors Avoided,Typical Cheque Size,Min Cheque Size,Max Cheque Size,Fund Contacts,Investments,Website,Location,,,Investor Notes,Interactions (Blume),Introductions (Startups),Lead flag,Impact/ESG flag,Connected?,Conflicts / Common Cos,Status,Priority,Sector Grouping
Actis,TG 1 ($100-500M),,Private Equity,"""Growth (C,D)"",Late Growth (>$500M)","Consumer,BFSI & Fintech,RE & Infra",,,,,"Ankur Trehan,David Cooke","Pine Labs, Profectus Capital, Veeda Clinical Resear, NSE, Glenmark Pharmaceuticals, Endurance Technologies",https://www.act.is/,"London,BOM,DEL",,,"Leading global investor focusing on sustainable infrastructure, investing in energy infra, long life infra, digi infra, RE and PE, with $14.1bn AUM.
PE portfolio in consumer, banking and fintech sectors.",,,checked,,,,,,
Activant Capital,,,Venture Capital,"""Early (A,B)""",,,,$20M,$30M,," SAP,Better Mortgage,Forbes",,,,,,,,,,,,,,
Acumen Fund,,,Venture Capital,"""Early (A,B)""","Healthcare & Lifesciences,BFSI & Fintech,Consumer,Software & Technology",,$2-3M,$1M,$5M,,,,,,,,,,,checked,,,,,"Healthcare & Lifesciences,BFSI & Fintech,Consumer,Software & Technology"
ADB Ventures,,,Corporate VC,"Seed,""Early (A,B)""",,,,,,,Euler Motors,,,,,Asian Development Bank's VC arm,,,,,,?Euler Motors,,,
Add Ventures Capital,,,Venture Capital,Seed,,,,,,Paul Rios,,,,,,,,13-08-24 | Add Ventures Capital?Pico Xpress,,,,,Active,,
Addition Capital,"TG 1 ($100-500M),TG 2 ($500M+)",,Private Equity,"""Early (A,B)"",""Growth (C,D)"",""Mid (B,C)"",Late Growth (>$500M)","Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Consumer,Supply chain & Logistics",,,$5M,$50M,"Lee Fixel,Todd Arfman","Bzaar,Superops.ai,Delhivery",https://addition.com/,NYC,,,"NY based fund focused on early and growth stage tech startups, with $1.3bn fund size",,01-08-23 | Addition Capital?Virohan,checked,,checked,Bzaar?Wizcommerce,,,Diversified
Aditya Birla Ventures,,,Venture Capital,"Seed,""Early (A,B)""","Consumer,BFSI & Fintech,Healthcare & Lifesciences,Edtech & Upskilling",,$1-2M,$1M,$2M,"Somya Matta,Kushal Lodha,Adit Naveen,Sonakshi Gupta","GIVA, Uptime AI, MoooFarm, Mokobara, Pixxel, FinBox, Eka Care, Dukaan, Digantara",,BOM,,,"Sector agnostic. Open for anything between 0.5M - 10M. Okay to lead/co-invest. Were doing an off-balance sheet so far but raising about >200M fund now. 5 people so far. Independent of the ABG ecosystem but if there are synergies, then open for corp dev as well.","31-03-22 | Aditya Birla Ventures,31-08-22 | Aditya Birla Ventures,17-03-23 | Aditya Birla Ventures,20-03-23 | Aditya Birla Ventures,24-07-23 | Aditya Birla Ventures","18-04-22 | Aditya Birla Ventures?BeatO,13-04-23 | Aditya Birla Ventures?Scribble Data,17-10-23 | Aditya Birla Ventures?Uolo,08-09-23 | Aditya Birla Ventures?Printo,27-08-24 | Aditya Birla Ventures?Multipl",,,checked,,,,"Consumer,BFSI & Fintech,Healthcare & Lifesciences,Edtech & Upskilling"
ADM Capital,,,Venture Debt,"""Early (A,B)"",""Growth (C,D)"",Late Growth (>$500M)","Edtech & Upskilling,RE & Infra,Software & Technology,Agritech,Industrials,Consumer,Impact/ESG",,,,,,"iNurture,Square Yards",https://www.admcapital.com/,"HKG,SIN",,,"Private credit specialist across Asia-Pacific focussed on mid-market corporates, with Asia Private Credit AUM $2bn.
Team presence in BLR.
Pursues three main investment strategies, 
- ESG integrated private debt capital solutions to mid-market across Asia-Pacific, 
- private debt capital for climate related transactions
- private equity focused on sustainable food and agriculture investments primarily across North America, Europe and Australia.
",,,checked,,,,Active,,Diversified
ADQ / ADG (Abu Dhabi),"TG 1 ($100-500M),TG 3 (Pre-IPO)",,Sovereign Entity,"""Growth (C,D)"",Late Growth (>$500M),""Mid (B,C)""","Healthcare & Lifesciences,Supply chain & Logistics,BFSI & Fintech,Consumer,Software & Technology,Agritech,RE & Infra",,,,,"Christian Shannon,Gil Adotevi","Spinny,Byju's,Policybazaar,Lentra",https://www.adq.ae/,UAE,,,"*ADQ is also a sovereign entity of Abu Dhabi, a developmental HoldCo for state-owned enterprises across sectors (energy, healthcare, food and agriculture, transport, logistics, FS, etc.). 
*Abu Dhabi Growth Fund (ADG) is the investment arm of ADQ, estb. in 2021, to make investments strategically aligned with UAE. 
*Pre IPO in Pharmeasy",,,checked,,,"?Spinny, Byju's?Unacademy, Policybazaar?Turtlemint, Zopper",,,Diversified
AdvantEdge,,,Venture Capital,"Seed,""Early (A,B)""","EV & Mobility,Consumer,Supply chain & Logistics,BFSI & Fintech,Software & Technology,Agritech",,,,,"Nitien Garg,Kunal Khattar","Rapido,Exponent Energy,Park+",,DEL,,,India's first mobility fund. Invests primarily in seed and Series A  across consumer sectors with a focus on mobility.,,,checked,,,Rapido?Yulu,Active,,
Advent International,TG 2 ($500M+),,Private Equity,"""Growth (C,D)"",Late Growth (>$500M),Public Markets","Consumer,BFSI & Fintech,Software & Technology,Healthcare & Lifesciences,Industrials",,,$50M,$2B,"Shweta Jalan,Sahil Dalal,Pankaj Patwari","Zenoti,KreditBee,CAMS,Slice,Bharat Serums",https://www.adventinternational.com/,"BOM,USA (other)",,,"Boston-based PE with $90bn AUM, originally spun out of TA Associates in 1984. Does growth PE and buyout deals globally.",,,checked,,,?Slice,,,Diversified
ADVIK Hi-Tech,,,Corporate BSheet,"Seed,""Early (A,B)""","Industrials,EV & Mobility,Software & Technology",,,,,"Aditya Bhartia,Amol Dagwade","Skit.ai,MobiKwik",,"BLR,Pune",,,India’s leading manufacturer of precision components and systems for automotive and industrial markets worldwide.,,,checked,,,MobiKwik?Slice,Active,,
Affirma Capital,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","BFSI & Fintech,Agritech,Consumer,Supply chain & Logistics,Software & Technology",,,,,Udai Dhawan,"Epack Durable,Northern Arc,Belstar Microfinance",https://affirmacapital.com/,BOM,,,"Spin-off of Standard Chartered Private Equity (SCPE) group. Raising a new India & SE Asia fund in 2023-24.
Invested in asset-heavy businesses historically like telecom, real estate, infra, energy, etc. Shifting to new themes like tech, consumer, BFSI with newer funds.",,,checked,,,,,High,Diversified
Affle,,,Corporate BSheet,"""Early (A,B)""","Consumer,Software & Technology",,,,,"Anuj Khanna Sohum,Anuj Kumar",Cash Karo,,,,,Global technology company with a proprietary consumer intelligence platform that transforms ads into recommendations.,,,checked,,,,Active,,
Aflac Ventures,,,Corporate VC,"""Early (A,B)""",,,,,,,Tricog,,,,,,,,,,,?Tricog,,,
Ag Ventures Lab,,,Corporate VC,"""Early (A,B)""","BFSI & Fintech,Impact/ESG,Agritech",,$2-3M,$1M,$10M,"Kawabata,Hiroki Kawabata"," Astrogate Labs, O'cean Beverages, Zingavita, Shield",,Tokyo,,,"Open innovation and CVC arm of Norinchukin Bank.
First fund of USD 50 Mn is fully deployed. Fund 2 is USD 100 Mn and is investing. Focus area - Agriculture, food, Fin-tech, climate etc. Embedded finance plays are big for them.
","""31-05-24 | Ag Ventures Lab, Norinchukin Bank""","13-08-24 | Ag Ventures Lab?Aerem,12-08-24 | Ag Ventures Lab?BlueCopa,05-06-24 | Ag Ventures Lab?Kaleidofin",,,checked,,,Medium,"BFSI & Fintech,Impact/ESG,Agritech"
Agate Medical Investments,,,Fund-of-Funds or LP,"""Growth (C,D)"",Public Markets",,,,,,," DarioHealth, EndoChoice, Valeritas",,,,,"a group of funds, specialized in providing growth capital to mature medtech companies.",,,,,,,Active,,
Aglaé Ventures,,,Venture Capital,"""Early (A,B)""",,,,<$500K,,,"Spotify,Lyft,Airbnb,Netflix",,,,,,,,,,,,,,
ah! Ventures,,,Venture Capital,Angel & Pre-Seed,,,,,,,Sapio,,,,,"$19M Pre-series A, India focused fund launched in Jun 22 (fintrackr)",,,,,,,,,
Ahimsa Capital,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Anish Malhotra,Jay Karandikar","Wicked Kitchen, Phyx44, Better Bet, alt foods, Demolish Foods, Ultraw",,,,,,,,,,,,,,
Aihuishou,,,,,,,,,,,Cashify,,,,,,,,,,,?Cashify,Active,,
AIM13 CVP,,,,,,,,,,Mislav Tolusic,,,,,,,,,,,,,,,
AirBnB,,,,,,,,,,,Spinny,,,,,,,,,,,?Spinny,Active,,
Airbus Accelerator,,,Corporate VC,"""Early (A,B)""",,,,,,"Pierre De-Bausset,Siddharth Balachandran",,,,,,,,,,,,,,,
AJ Ventures & Investments,,,Venture Capital,Seed,,,,,,Dinesh Agarwal," Chalo, Orbo, Detect Technologies , Otomagnetics, Easypolicy",,,,,,,,,,,,,,
Akatsuki (AET),,,Corporate VC,,,,,,,"Tomoya Ogawa,Yuki Kawamura",,,,,,,,,,,,,,,
Al-Futtaim,TG 1 ($100-500M),,Corporate BSheet,"""Mid (B,C)""","EV & Mobility,Supply chain & Logistics",,,,,Marwan Shehadeh,River,http://www.alfuttaim.com,UAE,,,"Diversified conglomerate HQ in Dubai.
Led $15m investment in River in 2023, a 2W EV manufacturer ",,,checked,checked,,River?Yulu,Active,,
Albourne,,,Fund-of-Funds or LP,,,,,,,"Shaneet Rai,David Low",,,SIN,,,,,,,,,,,,
Alchemus Capital,,,Venture Capital,,,,,,,Bethany LaFlam,,,,,,,,,,,,,,,
Alchemy Leaders of Tomorrow - AIF Cat-III,TG 3 (Pre-IPO),,Crossover,"""Growth (C,D)"",Late Growth (>$500M),Public Markets","Consumer,Industrials,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,RE & Infra",,,,,"Hiren Ved,Himani Shah","Info Edge,Hindustan Aeronautics",https://www.alchemycapital.com/alternative-investment-funds/alchemy-leaders-of-tomorrow.aspx,BOM,,,"Cat-III AIF investing in listed equities, IPO and pre-IPO deals.
Stage-agnostic within above criteria with 3-5 year holding.",,,checked,,,,Active,,Diversified
Alf Accurate Advisors - AAA India Equity AIF,TG 3 (Pre-IPO),,Crossover,"""Growth (C,D)"",Late Growth (>$500M),Public Markets","BFSI & Fintech,Software & Technology,Consumer,EV & Mobility,Healthcare & Lifesciences,Industrials",,,,,Rajesh Kothari,,https://www.alfaccurate.com/aaa-india-equity-fund-aif,BOM,,,"Listed equities PMS founded by Rajesh Kothari, ex-fund manager of DSP Merrill Lynch MF. Also have a Cat-III AIF with upto 10% allocation for pre-IPO deals.
Couldn't find any pre-IPO deals.",,,,,,,Active,,Diversified
Alkemi Growth Capital,TG 1 ($100-500M),,Venture Capital,"""Early (A,B)"",""Mid (B,C)""","Healthcare & Lifesciences,Consumer",,,,,"Alka Goel,Mansi Aggarwal","Redcliffe Labs,Slurrp Farm",https://www.alkemivp.com/,DEL,,,Early growth investor; Mission is to elevate the Health and Well-Being of the Indian consumer. 2 investments in Series C.,,,checked,,,,Active,,
Alkeon Capital,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Software & Technology,Edtech & Upskilling,Healthcare & Lifesciences,BFSI & Fintech,Consumer",,,,,"Deepak Ravichandran,Abhi Arjun","Sharechat,Byju's,Groww,Razorpay",https://www.alkeoncapital.com/,"NYC,HKG",,,"Long-only hedge fund based in NYC with $17B AUM. 
Sectors - Enterprise automation, data economy, AI/ML, devops, security, financial technology, vertical software and consumer sectors.",,,checked,,,"Sharechat?Koo, Byju's?Unacademy, Groww?Smallcase",,,Diversified
All in Capital,,,Venture Capital,Seed,,,,,,Aditya Singh,"GIVA,Rigi,NewMe,Unbox Robotics",,,,,,,,,,,,Active,,
Alliance Bernstein,,,,,,,,,,Dureka Carrasquillo,,,,,,Global climate-tech fund with $750bn+ AUM,,,,,,,Active,,
Allianz Capital Partners,,,Fund-of-Funds or LP,,,,,,,"Hyunsin Kim,Qingru Li",,,,,,,,,,,,,,,
Alpha JWC,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Jefrey Joe," Symbo Insurance, Last9",,,,,,,,,,,,,,
Alpha Wave Global (ex-Falcon Edge),TG 1 ($100-500M),,Private Equity,"""Early (A,B)"",""Growth (C,D)"",""Mid (B,C)"",Late Growth (>$500M),Public Markets","Software & Technology,Consumer,BFSI & Fintech,Edtech & Upskilling,Supply chain & Logistics,EV & Mobility,Impact/ESG",,,,,"Navroz Udwadia,Arjun Vikas,Tushar Behl,Lakshay Manchanda,Ryan Khoury,Vinay Subramanian,Utsav Mitra,Savi Rakhecha","Ola Electric,Cars24,Stanza Living,Swiggy,Dream11,OfBusiness,Moglix,Lenskart,CRED,Policybazaar,Locus,Bounce,Fi,Classplus,Ultrahuman",https://www.alphawaveglobal.com/,"NYC,BLR",,,"Earlier known as Falcon Edge. Global investment company having 3 verticals - PE, private credit, public markets. Mainly does late stage investments, but recently begun adding early-stage as well.","19-04-23 | Alpha Wave Global (ex-Falcon Edge),26-03-24 | Alpha Wave Global (ex-Falcon Edge)","25-12-21 | Alpha Wave Global (ex-Falcon Edge)?Koo,17-01-22 | Alpha Wave Global (ex-Falcon Edge)?Grey Orange,17-03-23 | Alpha Wave Global (ex-Falcon Edge)?Ati Motors,16-01-24 | Alpha Wave Global (ex-Falcon Edge)?Smallcase,22-01-24 | Alpha Wave Global (ex-Falcon Edge)?STAGE,28-02-24 | Alpha Wave Global (ex-Falcon Edge)?Pixxel",checked,,checked,"Ola Electric?Euler Motors, Cars24?Spinny, Swiggy?Dunzo, OfBusiness?Procol, CRED?Slice, Policybazaar?Turtlemint, Zopper, ?Locus, Bounce?BatterySmart, Yulu, ?Classplus, ?Ultrahuman",,High,Diversified
Alphatron Capital (fka SMK Ventures),"TG 1 ($100-500M),TG 2 ($500M+),TG 3 (Pre-IPO)",Existing LP,Venture Capital,"Seed,""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)""","Software & Technology,Consumer,BFSI & Fintech,Healthcare & Lifesciences,Impact/ESG",,,,,"Vishwesh Pai,Disha Shah","Kuku FM,BatterySmart,Teachmint,ElectricPe,Lenskart",https://www.alphatroncap.com/,USA (other),,,"US-based VC democratising access for US investors to a diversified pool of tech-based and tech-enabled bs in India.
Invests in growth stage (70%) primarily. 20% of funds for strategic co-inv and 70%-80% towards diversified mix of VC Funds.
Main areas of interest: enterprise saas, fintech, healthtech, AI/ML, deeptech, digital content, D2C, renewable energy.

Invested in chirate, epiq, fireside, 3one4.",,"04-04-23 | Alphatron Capital (fka SMK Ventures)?Rocketium,28-02-24 | Alphatron Capital (fka SMK Ventures)?Aerem,28-02-24 | Alphatron Capital (fka SMK Ventures)?ChefKart,28-02-24 | Alphatron Capital (fka SMK Ventures)?Virohan",,,checked,"?BatterySmart, Teachmint?Classplus, Uolo, ?ElectricPe",,,Diversified
Alpine Capital,,,Crossover,"""Growth (C,D)""",,,,,,," KrazyBee,Delhivery",,,,,,,,,,,,Active,,
Alter Global,,,,,,,,,,Siddharth Dhankar,,,,,,,,"11-10-23 | Alter Global?Stellapps,11-10-23 | Alter Global?HealthAssure,11-10-23 | Alter Global?Aerem,11-10-23 | Alter Global?Medfin,11-10-23 | Alter Global?Medfin",,,,,,,
Altimeter Capital,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M),Public Markets","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences",,,,,"Apoorv Agarwal,Selina Wang","Udaan,Pine Labs",https://www.altimeter.com/home,"SFO,USA (other)",,,California-based tech-focussed VC with $10.7bn AUM focusing on tech investments across public and private markets globally.,,,checked,,,Udaan?LoveLocal,,,Diversified
Alumni Ventures (Ivy League),TG 1 ($100-500M),,Venture Capital,"Seed,""Early (A,B)""","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Impact/ESG,Agritech,Supply chain & Logistics,EV & Mobility,RE & Infra,Edtech & Upskilling,Industrials",,,,,"Ray Wu,David Beazley","LoveLocal,Innoviti",,"NYC,USA (other)",,,"Amongst the most active VCs in the U.S.
Core funds (diversified): $50k-$100k (Min $25k)
Focused funds: $50k-$100k (Min $25k)
Syndications: (invest in single venture deals) $15-25k (Min $10k)",,,checked,,,?LoveLocal,,,Diversified
Amansa Capital,"TG 3 (Pre-IPO),TG 2 ($500M+),TG 1 ($100-500M)",,Crossover,"Late Growth (>$500M),Public Markets,""Growth (C,D)"",""Mid (B,C)""","BFSI & Fintech,Healthcare & Lifesciences,Consumer,Software & Technology",,$50M,$15M,$75M,"Akash Prakash,Narender Nagpal,Ambrish Sukhani","Swiggy,Delhivery,PharmEasy,Turtlemint,Licious,Jana SFB",https://www.amansacapital.com/#/,"SIN,BOM",,,"Singapore-based hedge fund. Does 3-4 transactions per year; can start with smaller cheques of $15-20M in earlier stage companies.
Pre-IPO deal in Phameasy","21-10-21 | Amansa Capital,23-11-21 | Amansa Capital,10-01-22 | Amansa Capital,14-04-22 | Amansa Capital","09-08-21 | Amansa Capital?Turtlemint,11-10-21 | Amansa Capital?Slice,23-11-21 | Amansa Capital?Turtlemint,14-04-22 | Amansa Capital?Purplle,25-09-22 | Amansa Capital?BatterySmart",checked,,checked,"Swiggy?Dunzo, ?Turtlemint, Jana SFB?Slice",,,Diversified
Amara Partners,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Early (A,B)"",""Growth (C,D)""","BFSI & Fintech,Consumer,Software & Technology,Healthcare & Lifesciences,Industrials",,,,,"Parag Shah,Piyush Soonee","Fibe,Lumax",https://amarapt.com/,BOM,,,"New fund setup in 2024 by Parag Shah, ex-Head of Mahindra & Mahindra PE. Backed by Anand Mahindra as anchor LP.
Did first close of INR 400 cr, final close pending (fund size NA). 
Focus on Series A/B VC cheques and mid-market growth cheques. Sectors: manufacturing, bfsi, consumer, saas, healthcare.",,,,,,,Active,,Diversified
Amazon,TG 1 ($100-500M),,Corporate BSheet,"""Mid (B,C)"",""Early (A,B)""","Healthcare & Lifesciences,Consumer,BFSI & Fintech,Software & Technology",,,,,"Abhijeet Muzumdar,Ronak Sandil,Mayank Nandwani,Preetham N,Karthik Srinivasan,Asmita Mittal","M1xchange,Smallcase,Cashify",https://www.amazon.in/,BOM,,,Strategic balance sheet investments via a subsidiary - Amazon.com NV Investment Holdings LLC,12-04-23 | Amazon,"23-03-22 | Amazon?Aerem,23-03-22 | Amazon?Alippo,23-03-22 | Amazon?Ati Motors,23-03-22 | Amazon?BatterySmart,23-03-22 | Amazon?BeatO,23-03-22 | Amazon?Ethereal,23-03-22 | Amazon?Euler Motors,23-03-22 | Amazon?HealthAssure,23-03-22 | Amazon?Idfy,23-03-22 | Amazon?LoveLocal,23-03-22 | Amazon?Autoverse,23-03-22 | Amazon?Printo,23-03-22 | Amazon?Procol,23-03-22 | Amazon?Wizcommerce,23-03-22 | Amazon?Stage3,23-03-22 | Amazon?Stellapps,23-03-22 | Amazon?Uolo,23-03-22 | Amazon?Leverage.biz,23-03-22 | Amazon?Jai Kisan,02-04-22 | Amazon?Glamplus,02-04-22 | Amazon?Markk,02-04-22 | Amazon?STAGE,02-04-22 | Amazon?Vitrina,02-04-22 | Amazon?Zipy,04-04-22 | Amazon?Pixxel,19-05-22 | Amazon?Bureau,16-08-22 | Amazon?ChefKart,19-09-22 | Amazon?Enumerate,19-09-22 | Amazon?Glamplus,19-09-22 | Amazon?Living Food,19-09-22 | Amazon?Multipl,19-09-22 | Amazon?PickMyWork,19-09-22 | Amazon?cAImera (Relove),19-09-22 | Amazon?STAGE,19-09-22 | Amazon?Zapscale,19-09-22 | Amazon?Zipy,19-09-22 | Amazon?Monrow,19-09-22 | Amazon?Scenes,17-10-23 | Amazon?Virohan,17-10-23 | Amazon?Futwork,13-12-24 | Amazon?SuperK (Core)",checked,,checked,"?Smallcase, ?Cashify",,,"Healthcare & Lifesciences,Consumer,BFSI & Fintech,Software & Technology"
AME Cloud Ventures,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Jeff Chung,Wretch Chien"," Happay, SalaryBox , DataTorrent, MayaData, Verchaska",,,,,,,,,,,,,,
Amereus Group,,,Venture Capital,,,,,,,Maxim Yuryevich Vorobyev,Wooplr,,,,,,,,,,,,,,
American Family Ventures,,,Corporate VC,"Seed,""Early (A,B)""",,,,,,,Turtlemint,,,,,,,,,,,?Turtlemint,Active,,
American Family Ventures,,,Corporate VC,"Seed,""Early (A,B)""",,,,,,,Turtlemint,,,,,,,,,,,?Turtlemint,Active,,
Amex Ventures,TG 1 ($100-500M),,Corporate VC,"""Early (A,B)""",BFSI & Fintech,,,,,Julia Huang," Cardless , BILT, Shef",,NYC,,,,,,,,checked,,,,BFSI & Fintech
AmFam,,,Corporate VC,"Seed,""Early (A,B)""",,,,,,,,,,,,,,04-04-23 | AmFam?Kaleidofin,,,,,,,
AmFam Ventures,,,Corporate VC,"Seed,""Early (A,B)""",,,,,,"Kyle Beatty,Tiana Pidgeon,Dan Reed,Brittany Clements",Turtlemint,,,,,,25-05-23 | AmFam Ventures,"04-04-23 | AmFam Ventures?Jai Kisan,05-04-23 | AmFam Ventures?Smallcase,05-04-23 | AmFam Ventures?Idfy,05-04-23 | AmFam Ventures?Bureau",,,,,,,
Amicus Capital Partners,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Healthcare & Lifesciences,BFSI & Fintech,Software & Technology",,$10M,$5M,$20M,Mahesh Parasuraman,"Moengage,Capital SFB,MCaffeine,RenewBuy",https://www.amicuscapital.in/,BLR,,,"Indian PE setup by PE professionals, focusing on mid-market cheques.
$280m AUM - Currently deploying out of $170m 2nd fund.
Prefers FS, consumer, healthcare, technology, specialty manufacturing. ",,,checked,,,"Moengage?Webengage, Capital SFB?Slice, RenewBuy?Turtlemint, Zopper",Active,,
Ams Investment Management,,,Private Equity,Late Growth (>$500M),Edtech & Upskilling,,,,,,Byju's,NA,SIN,,,"Independent asset management firm based in Singapore. 
Participated in BYJU's Series F funding.
Very limited info available.",,,checked,,,Byju's?Unacademy,Active,,
AmTrust,,,Corporate VC,,BFSI & Fintech,,,,,,Servify,,,,,,,,,,,?Servify,,,BFSI & Fintech
Analog Ventures,,,,,,,,,,Ashish Shastri,Idfy,,,,,,,,,,,?Idfy,Active,,
Ananta Capital,TG 1 ($100-500M),,Venture Capital,"""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)""","Consumer,Healthcare & Lifesciences,BFSI & Fintech,Industrials",,,,,"Ashutosh Taparia,Lovkesh Kapoor","Bella Vita,Jana SFB",https://www.anantacapital.in/,BOM,,,"Mid-market PE with %150m AUM, mainly backed by Taparia family.
Focus: Consumer products, asset-light healthcare, BFSI, specialized manufacturing.
Selectively also look at opportunities in the listed space in pre-IPO or PIPE situations.",,,checked,,,"Bella Vita?Purplle, Jana SFB?Slice",Active,,
Anchorage Capital Partners,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Vipul Ambani ,Vipul Ambani","RocketPay, EduFund, Tradyl, Quizy, Navana Tech",,,,,,,12-07-23 | Anchorage Capital Partners?Futwork,,,,,,,
